lf:0.10, min:0.071, max:1.741, mpsnr:14.935, mssim:0.633, msam:0.089
lf:0.10, min:None, max:1.741, mpsnr:10.409, mssim:0.480, msam:0.122
lf:0.20, min:0.071, max:1.741, mpsnr:15.537, mssim:0.654, msam:0.089
lf:0.20, min:None, max:1.741, mpsnr:10.472, mssim:0.482, msam:0.122
lf:0.30, min:0.071, max:1.741, mpsnr:16.164, mssim:0.675, msam:0.089
lf:0.30, min:None, max:1.741, mpsnr:10.535, mssim:0.484, msam:0.122
lf:0.40, min:0.071, max:1.741, mpsnr:16.820, mssim:0.696, msam:0.089
lf:0.40, min:None, max:1.741, mpsnr:10.598, mssim:0.486, msam:0.122
lf:0.50, min:0.071, max:1.741, mpsnr:17.508, mssim:0.716, msam:0.089
lf:0.50, min:None, max:1.741, mpsnr:10.661, mssim:0.488, msam:0.122
lf:0.60, min:0.071, max:1.741, mpsnr:18.228, mssim:0.735, msam:0.089
lf:0.60, min:None, max:1.741, mpsnr:10.724, mssim:0.490, msam:0.122
lf:0.70, min:0.071, max:1.741, mpsnr:18.979, mssim:0.753, msam:0.089
lf:0.70, min:None, max:1.741, mpsnr:10.787, mssim:0.492, msam:0.122
lf:0.80, min:0.071, max:1.741, mpsnr:19.747, mssim:0.770, msam:0.089
lf:0.80, min:None, max:1.741, mpsnr:10.851, mssim:0.494, msam:0.122
lf:0.90, min:0.071, max:1.741, mpsnr:20.502, mssim:0.784, msam:0.089
lf:0.90, min:None, max:1.741, mpsnr:10.915, mssim:0.496, msam:0.122
lf:1.00, min:0.071, max:1.741, mpsnr:21.181, mssim:0.795, msam:0.089
lf:1.00, min:None, max:1.741, mpsnr:10.978, mssim:0.499, msam:0.122
lf:1.10, min:0.071, max:1.741, mpsnr:21.690, mssim:0.804, msam:0.089
lf:1.10, min:None, max:1.741, mpsnr:11.042, mssim:0.501, msam:0.122
