lf:0.10, min:0.071, max:1.741, mpsnr:15.499, mssim:0.652, msam:0.085
lf:0.10, min:None, max:1.741, mpsnr:10.673, mssim:0.487, msam:0.116
lf:0.20, min:0.071, max:1.741, mpsnr:15.854, mssim:0.664, msam:0.085
lf:0.20, min:None, max:1.741, mpsnr:10.708, mssim:0.489, msam:0.116
lf:0.30, min:0.071, max:1.741, mpsnr:16.221, mssim:0.677, msam:0.085
lf:0.30, min:None, max:1.741, mpsnr:10.742, mssim:0.490, msam:0.116
lf:0.40, min:0.071, max:1.741, mpsnr:16.599, mssim:0.689, msam:0.085
lf:0.40, min:None, max:1.741, mpsnr:10.776, mssim:0.491, msam:0.116
lf:0.50, min:0.071, max:1.741, mpsnr:16.990, mssim:0.700, msam:0.085
lf:0.50, min:None, max:1.741, mpsnr:10.810, mssim:0.492, msam:0.116
lf:0.60, min:0.071, max:1.741, mpsnr:17.395, mssim:0.712, msam:0.085
lf:0.60, min:None, max:1.741, mpsnr:10.845, mssim:0.493, msam:0.116
lf:0.70, min:0.071, max:1.741, mpsnr:17.815, mssim:0.723, msam:0.085
lf:0.70, min:None, max:1.741, mpsnr:10.879, mssim:0.495, msam:0.116
lf:0.80, min:0.071, max:1.741, mpsnr:18.256, mssim:0.734, msam:0.085
lf:0.80, min:None, max:1.741, mpsnr:10.913, mssim:0.496, msam:0.116
lf:0.90, min:0.071, max:1.741, mpsnr:18.719, mssim:0.745, msam:0.085
lf:0.90, min:None, max:1.741, mpsnr:10.948, mssim:0.497, msam:0.116
lf:1.00, min:0.071, max:1.741, mpsnr:19.202, mssim:0.755, msam:0.085
lf:1.00, min:None, max:1.741, mpsnr:10.982, mssim:0.498, msam:0.116
lf:1.10, min:0.071, max:1.741, mpsnr:19.705, mssim:0.764, msam:0.085
lf:1.10, min:None, max:1.741, mpsnr:11.017, mssim:0.499, msam:0.116
