lf:0.10, min:0.071, max:0.217, mpsnr:6.037, mssim:0.410, msam:0.105
lf:0.10, min:None, max:0.217, mpsnr:-5.503, mssim:0.317, msam:0.129
lf:0.20, min:0.071, max:0.217, mpsnr:6.245, mssim:0.423, msam:0.105
lf:0.20, min:None, max:0.217, mpsnr:-5.141, mssim:0.329, msam:0.129
lf:0.30, min:0.071, max:0.217, mpsnr:6.765, mssim:0.452, msam:0.105
lf:0.30, min:None, max:0.217, mpsnr:-4.776, mssim:0.341, msam:0.129
lf:0.40, min:0.071, max:0.217, mpsnr:7.858, mssim:0.500, msam:0.105
lf:0.40, min:None, max:0.217, mpsnr:-4.407, mssim:0.352, msam:0.129
lf:0.50, min:0.071, max:0.217, mpsnr:9.533, mssim:0.523, msam:0.105
lf:0.50, min:None, max:0.217, mpsnr:-4.034, mssim:0.363, msam:0.129
lf:0.60, min:0.071, max:0.217, mpsnr:10.974, mssim:0.526, msam:0.105
lf:0.60, min:None, max:0.217, mpsnr:-3.657, mssim:0.374, msam:0.129
lf:0.70, min:0.071, max:0.217, mpsnr:10.826, mssim:0.526, msam:0.105
lf:0.70, min:None, max:0.217, mpsnr:-3.275, mssim:0.385, msam:0.129
lf:0.80, min:0.071, max:0.217, mpsnr:9.650, mssim:0.521, msam:0.105
lf:0.80, min:None, max:0.217, mpsnr:-2.889, mssim:0.396, msam:0.129
lf:0.90, min:0.071, max:0.217, mpsnr:8.540, mssim:0.513, msam:0.105
lf:0.90, min:None, max:0.217, mpsnr:-2.499, mssim:0.406, msam:0.129
lf:1.00, min:0.071, max:0.217, mpsnr:7.690, mssim:0.497, msam:0.105
lf:1.00, min:None, max:0.217, mpsnr:-2.103, mssim:0.417, msam:0.129
lf:1.10, min:0.071, max:0.217, mpsnr:7.082, mssim:0.472, msam:0.105
lf:1.10, min:None, max:0.217, mpsnr:-1.701, mssim:0.427, msam:0.129
