lf:0.10, min:0.071, max:0.217, mpsnr:6.011, mssim:0.411, msam:0.113
lf:0.10, min:None, max:0.217, mpsnr:-11.324, mssim:0.139, msam:0.144
lf:0.20, min:0.071, max:0.217, mpsnr:6.012, mssim:0.411, msam:0.113
lf:0.20, min:None, max:0.217, mpsnr:-10.951, mssim:0.134, msam:0.144
lf:0.30, min:0.071, max:0.217, mpsnr:6.012, mssim:0.411, msam:0.113
lf:0.30, min:None, max:0.217, mpsnr:-10.584, mssim:0.129, msam:0.144
lf:0.40, min:0.071, max:0.217, mpsnr:6.023, mssim:0.406, msam:0.113
lf:0.40, min:None, max:0.217, mpsnr:-10.221, mssim:0.125, msam:0.144
lf:0.50, min:0.071, max:0.217, mpsnr:6.221, mssim:0.411, msam:0.113
lf:0.50, min:None, max:0.217, mpsnr:-9.860, mssim:0.122, msam:0.144
lf:0.60, min:0.071, max:0.217, mpsnr:7.180, mssim:0.477, msam:0.113
lf:0.60, min:None, max:0.217, mpsnr:-9.501, mssim:0.119, msam:0.144
lf:0.70, min:0.071, max:0.217, mpsnr:8.694, mssim:0.481, msam:0.113
lf:0.70, min:None, max:0.217, mpsnr:-9.144, mssim:0.116, msam:0.144
lf:0.80, min:0.071, max:0.217, mpsnr:8.070, mssim:0.470, msam:0.113
lf:0.80, min:None, max:0.217, mpsnr:-8.789, mssim:0.114, msam:0.144
lf:0.90, min:0.071, max:0.217, mpsnr:6.892, mssim:0.449, msam:0.113
lf:0.90, min:None, max:0.217, mpsnr:-8.435, mssim:0.112, msam:0.144
lf:1.00, min:0.071, max:0.217, mpsnr:6.064, mssim:0.408, msam:0.113
lf:1.00, min:None, max:0.217, mpsnr:-8.084, mssim:0.111, msam:0.144
lf:1.10, min:0.071, max:0.217, mpsnr:5.865, mssim:0.395, msam:0.113
lf:1.10, min:None, max:0.217, mpsnr:-7.735, mssim:0.110, msam:0.144
