lf:0.10, min:0.071, max:1.741, mpsnr:21.494, mssim:0.791, msam:0.119
lf:0.10, min:None, max:1.741, mpsnr:20.510, mssim:0.748, msam:0.118
lf:0.20, min:0.071, max:1.741, mpsnr:23.276, mssim:0.843, msam:0.119
lf:0.20, min:None, max:1.741, mpsnr:22.089, mssim:0.801, msam:0.118
lf:0.30, min:0.071, max:1.741, mpsnr:25.163, mssim:0.882, msam:0.119
lf:0.30, min:None, max:1.741, mpsnr:23.665, mssim:0.846, msam:0.118
lf:0.40, min:0.071, max:1.741, mpsnr:27.137, mssim:0.904, msam:0.119
lf:0.40, min:None, max:1.741, mpsnr:25.330, mssim:0.881, msam:0.118
lf:0.50, min:0.071, max:1.741, mpsnr:27.819, mssim:0.907, msam:0.119
lf:0.50, min:None, max:1.741, mpsnr:27.137, mssim:0.904, msam:0.118
lf:0.60, min:0.071, max:1.741, mpsnr:26.403, mssim:0.891, msam:0.119
lf:0.60, min:None, max:1.741, mpsnr:28.439, mssim:0.912, msam:0.118
lf:0.70, min:0.071, max:1.741, mpsnr:24.851, mssim:0.858, msam:0.119
lf:0.70, min:None, max:1.741, mpsnr:27.766, mssim:0.906, msam:0.118
lf:0.80, min:0.071, max:1.741, mpsnr:23.661, mssim:0.812, msam:0.119
lf:0.80, min:None, max:1.741, mpsnr:26.252, mssim:0.885, msam:0.118
lf:0.90, min:0.071, max:1.741, mpsnr:22.802, mssim:0.766, msam:0.119
lf:0.90, min:None, max:1.741, mpsnr:24.951, mssim:0.852, msam:0.118
lf:1.00, min:0.071, max:1.741, mpsnr:22.309, mssim:0.736, msam:0.119
lf:1.00, min:None, max:1.741, mpsnr:23.935, mssim:0.808, msam:0.118
lf:1.10, min:0.071, max:1.741, mpsnr:22.135, mssim:0.725, msam:0.119
lf:1.10, min:None, max:1.741, mpsnr:23.136, mssim:0.756, msam:0.118
