lf:21.0, min:None, max:0.217, mpsnr:7.900, mssim:0.349, msam:0.148
lf:21.5, min:None, max:0.217, mpsnr:8.318, mssim:0.349, msam:0.148
lf:22.0, min:None, max:0.217, mpsnr:8.733, mssim:0.349, msam:0.148
lf:22.5, min:None, max:0.217, mpsnr:9.127, mssim:0.349, msam:0.148
lf:23.0, min:None, max:0.217, mpsnr:9.473, mssim:0.349, msam:0.148
lf:23.5, min:None, max:0.217, mpsnr:9.738, mssim:0.349, msam:0.148
lf:24.0, min:None, max:0.217, mpsnr:9.887, mssim:0.348, msam:0.148
lf:24.5, min:None, max:0.217, mpsnr:9.903, mssim:0.348, msam:0.148
lf:25.0, min:None, max:0.217, mpsnr:9.788, mssim:0.347, msam:0.148
lf:25.5, min:None, max:0.217, mpsnr:9.569, mssim:0.347, msam:0.148
lf:26.0, min:None, max:0.217, mpsnr:9.278, mssim:0.346, msam:0.148
lf:26.5, min:None, max:0.217, mpsnr:8.948, mssim:0.345, msam:0.148
lf:27.0, min:None, max:0.217, mpsnr:8.603, mssim:0.344, msam:0.148
lf:27.5, min:None, max:0.217, mpsnr:8.258, mssim:0.342, msam:0.148
lf:28.0, min:None, max:0.217, mpsnr:7.924, mssim:0.341, msam:0.148
lf:28.5, min:None, max:0.217, mpsnr:7.603, mssim:0.339, msam:0.148
lf:29.0, min:None, max:0.217, mpsnr:7.300, mssim:0.337, msam:0.148
lf:29.5, min:None, max:0.217, mpsnr:7.014, mssim:0.335, msam:0.148
